epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,144.917,1.26426,2.64938,0.2632,0.92142,1.34866,1,0.87001,0.98154,0.67889,0.993,0.83333,0.92568,0.55015,1.16079,2.34039,0.11775,0.76595,1.34466,0.0014852,0.0014852,0.0014852
28,150.073,1.30354,2.97317,0.26336,0.86849,1.32222,0.97945,1,0.995,0.68461,0.97735,0.88889,0.92423,0.51769,1.16036,2.55792,0.09829,0.68865,1.31897,0.0014654,0.0014654,0.0014654
29,155,1.37613,2.61975,0.25521,0.9684,1.39307,0.9958,1,0.995,0.6738,0.98734,0.94444,0.945,0.56093,1.1777,2.04904,0.0963,0.65963,1.31709,0.0014456,0.0014456,0.0014456
30,159.845,1.33464,3.02775,0.26065,0.88023,1.35983,1,0.99517,0.995,0.72869,0.9883,0.94444,0.945,0.5167,1.04732,1.80058,0.10078,0.63044,1.22132,0.0014258,0.0014258,0.0014258
31,164.893,1.23399,2.91098,0.23611,0.87121,1.31196,0.99335,0.94444,0.965,0.74639,0.99335,0.94444,0.945,0.60436,0.94223,1.655,0.09909,0.64575,1.15264,0.001406,0.001406,0.001406
32,169.897,1.35518,2.94849,0.254,0.94766,1.45731,0.99214,0.94444,0.96868,0.69466,0.99214,0.94444,0.945,0.59549,1.09847,1.8942,0.10426,0.61474,1.23309,0.0013862,0.0013862,0.0013862
33,174.822,1.41787,2.95723,0.237,0.90145,1.40746,0.94707,0.9943,0.99237,0.63215,0.99004,0.94444,0.945,0.57677,1.45149,1.59595,0.09252,0.60642,1.4437,0.0013664,0.0013664,0.0013664
34,179.688,1.32874,2.67874,0.24144,0.904,1.37282,0.99396,0.94444,0.99237,0.66725,0.99396,0.94444,0.945,0.60374,1.24544,1.4956,0.09419,0.65613,1.28852,0.0013466,0.0013466,0.0013466
35,184.634,1.26439,2.56944,0.26255,0.87133,1.33351,0.94667,0.98665,0.99237,0.67979,0.98537,0.94444,0.945,0.52311,1.06429,1.81214,0.10028,0.6417,1.216,0.0013268,0.0013268,0.0013268
36,189.765,1.12825,2.1701,0.23446,0.78629,1.29333,0.98736,1,0.995,0.61552,0.93251,0.94444,0.94167,0.56559,1.42299,1.5899,0.09151,0.60628,1.45466,0.001307,0.001307,0.001307
37,194.864,1.25956,2.28992,0.21444,0.84512,1.33415,0.98652,1,0.995,0.61299,0.93136,0.94444,0.94167,0.61263,1.53196,1.6472,0.09205,0.67344,1.55485,0.0012872,0.0012872,0.0012872
38,199.669,1.21637,2.43029,0.22717,0.85096,1.33459,0.98902,1,0.995,0.62239,0.9415,0.94444,0.945,0.62674,1.60402,1.60745,0.08857,0.67142,1.62495,0.0012674,0.0012674,0.0012674
39,204.711,1.21589,2.4197,0.21267,0.87856,1.3021,1,0.97564,0.995,0.66117,0.9803,0.94444,0.945,0.57943,1.49721,1.71268,0.07905,0.6513,1.49589,0.0012476,0.0012476,0.0012476
40,209.577,1.34923,2.47158,0.22872,0.83909,1.37848,1,0.98688,0.995,0.69094,0.98243,0.94444,0.945,0.58199,1.36653,1.60147,0.08068,0.61467,1.36805,0.0012278,0.0012278,0.0012278
41,214.562,1.1511,1.74402,0.19388,0.75051,1.27983,0.99732,1,0.995,0.61505,0.98636,0.94444,0.945,0.56988,1.62928,1.76262,0.09357,0.61252,1.54818,0.001208,0.001208,0.001208
42,219.386,1.27067,2.30563,0.25078,0.83795,1.33022,0.99768,1,0.995,0.66319,0.98779,0.94444,0.945,0.64149,1.31197,1.48783,0.09943,0.60719,1.35599,0.0011882,0.0011882,0.0011882
43,224.327,1.25803,2.22639,0.21392,0.80178,1.33163,1,0.98875,0.995,0.67872,0.98783,0.94444,0.945,0.73049,1.1888,1.20262,0.10984,0.61044,1.2638,0.0011684,0.0011684,0.0011684
44,229.457,1.25309,2.14567,0.23621,0.7829,1.31559,0.98524,0.94444,0.98786,0.64747,0.98524,0.94444,0.945,0.7146,1.23225,1.17237,0.12709,0.65176,1.26522,0.0011486,0.0011486,0.0011486
45,234.457,1.15717,2.39318,0.21833,0.77256,1.21451,0.94673,0.98795,0.99237,0.61684,0.99155,0.94444,0.945,0.68524,1.34565,1.26094,0.14754,0.67431,1.31455,0.0011288,0.0011288,0.0011288
46,239.229,1.1749,2.09323,0.22806,0.83643,1.27208,1,0.99654,0.995,0.66908,0.99164,0.94444,0.945,0.68963,1.18444,1.13154,0.13201,0.59641,1.23934,0.001109,0.001109,0.001109
47,244.204,1.26182,1.97857,0.21423,0.77118,1.30756,0.99265,1,0.995,0.66205,0.99471,0.94444,0.945,0.71266,1.01988,1.07386,0.09219,0.55547,1.19252,0.0010892,0.0010892,0.0010892
48,249.151,1.10625,1.57918,0.20824,0.75404,1.2688,0.9906,1,0.995,0.64359,0.97318,0.94444,0.945,0.66389,1.07773,1.10375,0.08735,0.59461,1.22655,0.0010694,0.0010694,0.0010694
49,254.166,1.23596,1.96528,0.20768,0.77444,1.36959,0.98801,1,0.995,0.54278,0.93959,0.94444,0.945,0.671,1.52964,1.09861,0.07996,0.69432,1.5129,0.0010496,0.0010496,0.0010496
50,259.048,1.18152,1.93384,0.22612,0.76142,1.27845,0.98838,1,0.995,0.5559,0.93949,0.94444,0.945,0.70305,1.62968,1.06732,0.08225,0.72381,1.55453,0.0010298,0.0010298,0.0010298
51,263.931,1.13109,2.05163,0.20469,0.75679,1.22407,0.97194,1,0.995,0.56819,0.94129,0.94444,0.945,0.65507,1.54926,1.25022,0.08232,0.6714,1.44471,0.00101,0.00101,0.00101
52,268.83,1.11756,2.18017,0.23326,0.7676,1.21115,0.92867,1,0.995,0.64711,0.87667,0.94444,0.93889,0.49762,1.2509,1.74084,0.09966,0.57552,1.23075,0.0009902,0.0009902,0.0009902
53,273.679,1.07518,1.98098,0.1995,0.77467,1.2087,0.93972,1,0.995,0.69177,0.88646,0.94444,0.93889,0.44553,1.19275,1.96572,0.10709,0.55118,1.2112,0.0009704,0.0009704,0.0009704
54,278.669,1.22688,2.1136,0.21339,0.77302,1.33139,0.97602,1,0.995,0.64919,0.92123,0.94444,0.93556,0.54121,1.24818,1.80225,0.11989,0.53163,1.25054,0.0009506,0.0009506,0.0009506
55,283.583,1.10659,1.77955,0.21701,0.70727,1.23459,0.9938,1,0.995,0.53475,0.93859,0.94444,0.93278,0.61454,1.67608,1.50957,0.1338,0.60284,1.57993,0.0009308,0.0009308,0.0009308
56,288.371,1.20972,2.07109,0.2309,0.80654,1.28836,0.99092,1,0.995,0.52139,0.93568,0.94444,0.93278,0.59419,1.76022,1.49892,0.12081,0.60948,1.66235,0.000911,0.000911,0.000911
57,293.199,1.12557,1.84415,0.22783,0.7317,1.22413,0.98975,1,0.995,0.56966,0.93476,0.94444,0.93889,0.68779,1.71281,1.223,0.09431,0.62069,1.64434,0.0008912,0.0008912,0.0008912
58,298.027,1.15469,1.68268,0.19604,0.76474,1.27475,0.99127,1,0.995,0.59036,0.94248,0.94444,0.945,0.69589,1.65126,1.18844,0.08712,0.63141,1.59153,0.0008714,0.0008714,0.0008714
59,302.935,1.09305,1.88006,0.21496,0.71134,1.24274,0.9974,1,0.995,0.5934,0.97517,0.94444,0.945,0.74408,1.59934,1.08625,0.08617,0.61174,1.5399,0.0008516,0.0008516,0.0008516
60,307.778,1.11434,1.74376,0.236,0.77851,1.2333,0.99778,1,0.995,0.58486,0.98419,0.94444,0.945,0.76759,1.65907,1.04642,0.08946,0.60276,1.57251,0.0008318,0.0008318,0.0008318
61,312.656,1.11018,1.48473,0.196,0.71967,1.22919,0.99701,1,0.995,0.60216,0.98579,0.94444,0.945,0.77722,1.55855,0.96824,0.09749,0.57713,1.47136,0.000812,0.000812,0.000812
62,317.381,1.22358,1.73979,0.20542,0.75474,1.3441,0.9971,1,0.995,0.63322,0.98277,0.94444,0.945,0.75718,1.48048,1.01447,0.10876,0.57012,1.38982,0.0007922,0.0007922,0.0007922
63,322.297,1.09024,1.70838,0.21467,0.76842,1.23573,0.99609,1,0.995,0.62921,0.9512,0.94444,0.945,0.75241,1.3946,1.07881,0.11498,0.57424,1.34297,0.0007724,0.0007724,0.0007724
64,327.131,1.12007,1.54704,0.19306,0.72857,1.22617,0.99623,1,0.995,0.62496,0.94262,0.94444,0.945,0.7346,1.34093,1.07268,0.11103,0.57041,1.33628,0.0007526,0.0007526,0.0007526
65,331.896,1.11144,1.74885,0.19376,0.72286,1.2365,0.9964,1,0.995,0.65135,0.96664,0.94444,0.945,0.69487,1.31608,1.07008,0.09973,0.59792,1.35846,0.0007328,0.0007328,0.0007328
66,336.725,1.08854,1.80467,0.20192,0.7621,1.21998,0.99672,1,0.995,0.60791,0.98238,0.94444,0.945,0.7036,1.43175,1.04031,0.0941,0.63648,1.43171,0.000713,0.000713,0.000713
67,341.526,1.16525,1.62426,0.21268,0.7309,1.26768,0.99688,1,0.995,0.59171,0.98754,0.94444,0.945,0.74806,1.60156,0.97328,0.09138,0.6575,1.55261,0.0006932,0.0006932,0.0006932
68,346.427,1.12566,1.43813,0.1873,0.73113,1.26807,0.94591,1,0.99237,0.58109,0.99061,0.94444,0.945,0.82163,1.65474,0.85447,0.08698,0.66477,1.60992,0.0006734,0.0006734,0.0006734
69,351.242,1.21599,1.80072,0.18498,0.80192,1.29215,0.93965,1,0.99237,0.62118,0.99302,0.94444,0.945,0.81205,1.56722,0.92258,0.08875,0.60563,1.51583,0.0006536,0.0006536,0.0006536
70,355.939,1.05904,1.59877,0.19528,0.66217,1.18154,0.99496,1,0.995,0.61142,1,0.94355,0.945,0.81535,1.50395,0.95896,0.09244,0.56398,1.43999,0.0006338,0.0006338,0.0006338
71,360.67,1.135,1.63927,0.22696,0.70528,1.20866,0.99293,1,0.995,0.67705,0.93777,0.94444,0.94167,0.82107,1.35507,0.95264,0.08926,0.53646,1.33725,0.000614,0.000614,0.000614
72,365.48,1.13542,1.57844,0.18694,0.78306,1.28022,0.99344,1,0.995,0.68327,1,0.9416,0.945,0.84895,1.34209,0.86446,0.08436,0.55884,1.33845,0.0005942,0.0005942,0.0005942
73,370.277,1.10184,1.61168,0.18938,0.73682,1.2386,0.9954,1,0.995,0.60798,0.95429,0.94444,0.945,0.82255,1.54231,0.9106,0.07772,0.66216,1.45495,0.0005744,0.0005744,0.0005744
